"","Site","WY","P_ET_1km","P_ET_5km"
"550","NFFR",2020,156.331988062293,113.785395451944
"551","WAR",2020,16.8755423019549,43.2853173022919
"552","GSW",2020,392.910508506445,424.473280953897
"553","TBCG",2020,-20.8852837107368,-37.7107673659596
"554","AMC",2020,308.046214302174,338.485699335681
"555","MCL",2020,58.2406853471191,97.0099351362314
"556","CCNB",2021,-17.5445110281468,17.7228618428232
"557","CFSR",2021,293.952407907142,319.712996999446
"558","ARN",2021,314.864682650802,317.869668216066
"559","CRP",2021,-85.2447118065414,-48.8623397463455
"560","CAT",2021,32.9763303318093,32.8478729091222
"561","SIAR",2021,167.608359588356,131.178580583143
"562","LYN",2021,106.406802203491,91.5845197066476
"563","TRAV",2021,72.2820546444344,-17.1444650153114
"564","BR55",2021,-23.1384606007111,-32.6016785275036
"565","DC116",2021,-46.1431204069516,2.17851552944552
"566","DC110",2021,-52.595101396895,-4.65651000421622
"567","EFAR",2021,81.1158861800498,167.101563964656
"568","MON",2021,134.576452580469,226.013519929469
"569","DC20",2021,16.5591120093512,5.31600539729686
"570","FUL",2021,210.508079263054,205.017850583635
"571","DC10",2021,-28.7653522677075,56.6341431649322
"572","ROCK",2021,-8.09921676325325,29.1021511775365
"573","BR10",2021,214.210511781076,223.512145571369
"574","SHADY",2021,-51.8695986342432,-47.3852873134638
"575","OC10",2021,-129.204431536043,-101.784782598577
"576","CORC",2021,-34.3118510301143,-94.215559658204
"577","NFY",2021,-113.219737097973,-94.7456785660039
"578","COLD",2021,-56.4179850578798,-117.309335479609
"579","HAY",2021,38.0415578461932,88.4861013989175
"580","CSLA",2021,103.616368876849,105.544441429921
"581","CACR",2021,479.643862115731,479.075600310358
"582","BCC",2021,-139.466893024699,-98.6577127442767
"583","MVC",2021,-46.3140570259499,-63.1878972617903
"584","BUT",2021,27.3430878486638,86.8761040386887
"585","WBUT",2021,28.4111592202513,96.0461529889196
"586","MAR",2021,73.9830681043745,-4.91954325398126
"587","NFFR",2021,110.477918940545,77.4023783858662
"588","WAR",2021,-23.3514858517096,53.7532898872288
"589","GSW",2021,183.197620183033,241.106531097344
"590","TBCG",2021,15.7973954569219,-7.86288906215384
"591","AMC",2021,22.7116413582994,65.8612240875545
"592","MCL",2021,-69.9197609491735,-32.3112816258896
"593","CCNB",2022,99.7920580464515,124.046438318246
"594","CFSR",2022,586.755824027381,649.13405582717
"595","ARN",2022,601.260186546471,648.810412247743
"596","CRP",2022,386.86148458476,556.050791850739
"597","CAT",2022,595.876783753474,644.45663926168
"598","SIAR",2022,803.008468203176,827.950223722433
"599","LYN",2022,779.077816173682,862.762560928089
"600","TRAV",2022,479.94816822909,382.996095107295
"601","BR55",2022,208.845293837446,205.607792556364
"602","DC116",2022,255.885375925219,310.641991336179
"603","DC110",2022,242.237461965677,295.631153818763
"604","EFAR",2022,743.810154202868,812.670756062857
"605","MON",2022,805.529515411555,868.443932384075
"606","DC20",2022,510.217721085437,499.810688630175
"607","FUL",2022,898.735067343415,897.454982342168
"608","DC10",2022,541.080036744593,605.41433669487
"609","ROCK",2022,523.885547887406,586.620449399351
"610","BR10",2022,907.145324622282,909.809757311319
"611","SHADY",2022,345.998955050884,352.125697176439
"612","OC10",2022,470.621311019,469.303352491497
"613","CORC",2022,530.656760448006,496.533523546712
"614","NFY",2022,484.823395567958,488.417735668588
"615","COLD",2022,242.902329422729,197.682163430487
"616","HAY",2022,674.272802073768,704.428534907483
"617","CSLA",2022,964.935278066334,919.723286499002
"618","CACR",2022,1120.18225903078,1091.22378698407
"619","BCC",2022,176.567050970697,205.962888290428
"620","MVC",2022,254.35566866141,183.268589367528
"621","BUT",2022,512.863019799082,647.648494574037
"622","WBUT",2022,547.113530068442,650.211555762289
"623","MAR",2022,508.63940894916,422.601200965778
"624","NFFR",2022,495.47396475002,504.529277414488
"625","WAR",2022,508.975146957756,475.086962003825
"626","GSW",2022,739.79202174398,753.641853475552
"627","TBCG",2022,268.991404006448,305.380179928174
"628","AMC",2022,469.007420821747,489.710715324542
"629","MCL",2022,140.102338713858,189.176861389449
"630","CCNB",2023,732.159158902375,775.964734099267
"631","CFSR",2023,1525.36407000948,1576.05630129589
"632","ARN",2023,1498.25279161356,1559.30846408746
"633","CRP",2023,1054.23516540199,1212.6927033707
"634","CAT",2023,1589.83917574595,1635.0575037779
"635","SIAR",2023,1789.31599500896,1800.39716311426
"636","LYN",2023,1898.09206924232,1975.43235882518
"637","TRAV",2023,1015.67845882763,927.791476076536
"638","BR55",2023,489.417086568632,482.390112318182
"639","DC116",2023,569.357147302622,631.091539260678
"640","DC110",2023,543.03880737154,603.921441328972
"641","EFAR",2023,1282.44736271878,1337.22274118674
"642","MON",2023,1386.91997342583,1487.94442323429
"643","DC20",2023,1004.32798925535,993.131303028874
"644","FUL",2023,1410.56053675326,1418.29306459545
"645","DC10",2023,1117.27361269408,1168.43590439514
"646","ROCK",2023,1066.34767145627,1116.05097536931
"647","BR10",2023,1470.46476284904,1509.32410270835
"648","SHADY",2023,714.572598353168,705.529029434616
"649","OC10",2023,959.267794581129,976.9417204442
"650","CORC",2023,1204.30173445702,1096.50686724368
"651","NFY",2023,1045.64903493804,1056.51392095574
"652","COLD",2023,528.510560159163,459.854168363099
"653","HAY",2023,1355.17075442403,1361.31151588642
"654","CSLA",2023,1605.56574437703,1650.75556917186
"655","CACR",2023,1778.21733296108,1764.27542672352
"656","BCC",2023,520.590349115668,533.299869380206
"657","MVC",2023,660.088466089233,584.950103559043
"658","BUT",2023,948.500270802253,1046.8581861778
"659","WBUT",2023,1010.52360587517,1119.84327614625
"660","MAR",2023,881.637947588669,825.256479661861
"661","NFFR",2023,945.957557527902,978.111844419045
"662","WAR",2023,884.137946633417,881.737955533443
"663","GSW",2023,1353.68449044576,1392.59399087469
"664","TBCG",2023,566.383209437128,569.878758539628
"665","AMC",2023,949.242714318211,968.306450331624
"666","MCL",2023,609.22451797141,626.763273607529
"667","CCNB",2024,178.363141024175,213.515516259916
"668","CFSR",2024,513.159282812669,549.826717078195
"669","ARN",2024,512.911556309404,547.693296206714
"670","CRP",2024,178.11469627463,304.938913922674
"671","CAT",2024,302.297555199372,328.442672768946
"672","SIAR",2024,511.567122346092,549.161829056496
"673","LYN",2024,502.833323018907,557.020726062761
"674","TRAV",2024,352.29804931151,255.254732416162
"675","BR55",2024,137.118712306352,151.522821870887
"676","DC116",2024,165.975274105003,226.477007758997
"677","DC110",2024,153.192352784596,213.183515448489
"678","EFAR",2024,510.498783105795,580.167227358532
"679","MON",2024,601.722230976235,673.582450617798
"680","DC20",2024,438.755601846053,421.893278728756
"681","FUL",2024,689.027789435325,651.312690583628
"682","DC10",2024,416.206034968233,461.736469943781
"683","ROCK",2024,416.257260417551,440.328686293351
"684","BR10",2024,652.169650489726,657.558202010484
"685","SHADY",2024,217.945907194288,231.32833353524
"686","OC10",2024,321.314730275831,351.19731597294
"687","CORC",2024,503.860331499402,410.385368333583
"688","NFY",2024,367.792925992749,367.46584159593
"689","COLD",2024,52.562918338447,14.4561804797474
"690","HAY",2024,562.298044337987,600.100365316477
"691","CSLA",2024,805.831629957541,814.847827701545
"692","CACR",2024,1067.62140099863,1057.73743934142
"693","BCC",2024,388.734077080947,382.762275596258
"694","MVC",2024,247.823895185039,178.891261913155
"695","BUT",2024,588.600310651016,696.326772303748
"696","WBUT",2024,643.129709822829,742.093285234563
"697","MAR",2024,512.559468137144,454.468338468006
"698","NFFR",2024,627.206141182514,576.401051427276
"699","WAR",2024,500.844207640163,493.882556152641
"700","GSW",2024,941.511286637155,943.014828048131
"701","TBCG",2024,284.619724698789,319.223225365876
"702","AMC",2024,704.124617415958,719.816013940332
"703","MCL",2024,372.687006450516,409.721582228922
"704","517PSC038",2006,1929.61831555039,1987.09755081137
"705","517PLC130",2006,1749.62216594191,1762.71635957649
"706","517LCCAYB",2006,1807.39556282416,1762.89790352147
"707","517STC294",2006,2075.83246357077,2091.14064811841
"708","514SSC190",2006,1407.14293266298,1370.70766761568
"709","507RCABRS",2006,769.826191708204,782.215319153978
"710","507DCABSF",2006,731.388435539984,832.106432315483
"711","507DCBLLB",2006,758.065053453533,766.829358886094
"712","507RCBLPF",2006,795.261397161854,734.856631487723
"713","507SPISFD",2006,836.212540797327,921.383420671745
"714","507BTC269",2006,1409.10153669217,1383.85450723376
"715","507SPION1",2006,800.99900037776,865.366525778064
"716","507SHA003",2006,732.722610355956,742.194700236479
"717","507SHA007",2006,777.931584632404,746.244867233337
"718","507SHA010",2006,1182.63226022222,1211.52924871714
"719","507SHA011",2006,733.741210740294,727.02841133924
"720","507SHA034",2006,761.610758918932,838.868605128516
"721","507SHA037",2006,971.322866884687,960.838218969148
"722","507SHA053",2006,791.36757185841,789.765690798003
"723","507SHA201",2006,761.377276487184,713.814490140779
"724","534SED001",2006,1122.99511919594,1189.10289461076
"725","534ARC279",2006,1141.50735283055,1192.96252666276
"726","534SPC227",2006,911.739280632976,911.588626972194
"727","534STN075",2006,1183.13650447818,1226.75010317977
"728","520BCBHRB",2006,925.868401330011,924.201785866255
"729","521BTC303",2006,1590.44206891029,1600.35419961798
"730","521BTCLBC",2006,1044.28336037866,1043.37245452096
"731","521PS0161",2006,1668.56477800408,1695.55974694721
"732","532SPC282",2006,1155.12804451523,1151.98660061008
"733","532CRM206",2006,1048.2205008183,1074.01610288741
"734","532CPC238",2006,1330.43457256915,1353.42628932673
"735","514PCAPC2",2006,1359.55015228746,1349.87166331138
"736","518RCNAPC",2006,1738.07197265274,1744.78347854051
"737","518CPCRCR",2006,1292.22140491197,1322.43430335512
"738","518CCCACN",2006,1498.25200097263,1500.00251016249
"739","518FC1350",2006,656.458172283086,726.723770421688
"740","518YLCAFR",2006,1028.35215236897,1078.93506206899
"741","518MCGRRx",2006,1526.64183203174,1534.08737809908
"742","518CMC383",2006,1580.764343889,1642.22966790532
"743","518FALL01",2006,1717.54756388196,1779.99694901248
"744","518MLC181",2006,2257.59254109811,2341.33064720038
"745","518SED013",2006,803.916326979348,851.574265536014
"746","518GEC309",2006,720.354782234614,798.618797432475
"747","518JSC273",2006,1211.73769168504,1201.98023283167
"748","518LCC105",2006,302.124585112816,368.39614467538
"749","518WS0103",2006,1792.60858382567,1866.15275745409
"750","518GEC297",2006,1094.80691146323,1111.17833207667
"751","518SPC134",2006,491.02442925502,547.094525311589
"752","509CTC033",2006,1066.88212492204,1133.46316038816
"753","504BCCFMR",2006,705.971916730251,732.294258037951
"754","504BCCSSM",2006,1069.20208252028,1088.61655433091
"755","504BCCUF",2006,1110.35304145045,1158.83019999552
"756","518PS0093",2006,581.86638024535,636.049668663816
"757","518SCEBAM",2006,619.579974225747,668.065769442779
"758","518HGY101",2006,286.782864559202,320.604200756391
"759","518FCA075",2006,836.796989341458,876.975527465105
"760","518RCC169",2006,541.509740907475,502.457023567991
"761","518RCC289",2006,449.080458830887,464.407402159482
"762","518SPC358",2006,827.262839574043,776.555601402389
"763","533R5NPSC",2006,390.942093297695,419.368071784249
"764","532WER222",2006,1414.21485967922,1436.8888700404
"765","532TGRUPX",2006,969.761949746955,976.483897600281
"766","526CLC371",2006,764.324184239383,703.900208676461
"767","SYRCL-VNM",2006,1726.43100302629,1743.67277214854
"768","517PSC038",2007,574.426086055568,607.510360365317
"769","517PLC130",2007,304.73803860199,329.378365823357
"770","517LCCAYB",2007,561.102804298067,510.414696859693
"771","517STC294",2007,550.05990321221,599.238802887445
"772","514SSC190",2007,384.777972226581,350.160975072018
"773","507RCABRS",2007,64.3893338611001,70.4078277961643
"774","507DCABSF",2007,-38.203514289705,61.5722755111926
"775","507DCBLLB",2007,72.9905857967584,78.0444758066794
"776","507RCBLPF",2007,189.165492748872,130.260422381915
"777","507SPISFD",2007,12.2818660155571,80.4526113619996
"778","507BTC269",2007,235.605106571582,207.716276327455
"779","507SPION1",2007,54.5841506355675,92.8553112081955
"780","507SHA003",2007,152.978758699739,148.294853832936
"781","507SHA007",2007,225.604990238336,189.156406587318
"782","507SHA010",2007,133.474502308312,161.998515666733
"783","507SHA011",2007,196.182040808386,192.583731663004
"784","507SHA034",2007,86.3879682443126,154.880835380123
"785","507SHA037",2007,122.578772309669,103.295109754499
"786","507SHA053",2007,187.771160914269,183.94413723326
"787","507SHA201",2007,169.428883218586,122.768338999609
"788","534SED001",2007,232.736790300527,298.952700451179
"789","534ARC279",2007,242.714485260839,293.615898949299
"790","534SPC227",2007,144.906163064474,152.081186696524
"791","534STN075",2007,320.215144203963,357.190385299262
"792","520BCBHRB",2007,228.367893539934,226.909759635339
"793","521BTC303",2007,288.552463911548,291.290551086001
"794","521BTCLBC",2007,161.244674987159,164.865562696197
"795","521PS0161",2007,208.055817964093,253.257283111183
"796","532SPC282",2007,220.317991220555,194.199898452126
"797","532CRM206",2007,201.51606888739,229.6568793855
"798","532CPC238",2007,236.554298562933,246.956523217372
"799","514PCAPC2",2007,313.233176624265,301.476825116785
"800","518RCNAPC",2007,394.233347155895,368.264072142072
"801","518CPCRCR",2007,214.346176396586,250.751221436892
"802","518CCCACN",2007,285.425302059458,267.761160286586
"803","518FC1350",2007,-147.840233973294,-78.3932400043935
"804","518YLCAFR",2007,92.4708038706656,164.353454783136
"805","518MCGRRx",2007,271.025683694366,305.411597086401
"806","518CMC383",2007,238.490043021126,281.873064202063
"807","518FALL01",2007,262.534759964698,319.245661177373
"808","518MLC181",2007,563.719086861877,629.723827323792
"809","518SED013",2007,27.2389313499851,34.4293530005663
"810","518GEC309",2007,19.8849263393003,86.9852141767592
"811","518JSC273",2007,264.189410609195,265.523086583963
"812","518LCC105",2007,-77.4680443026223,-19.9974874357137
"813","518WS0103",2007,358.580963180093,431.974927036342
"814","518GEC297",2007,180.444725997639,187.573303593875
"815","518SPC134",2007,-76.4045475657801,-36.8195794933217
"816","509CTC033",2007,68.4630543243467,132.11261096297
"817","504BCCFMR",2007,111.700362584689,135.680879954496
"818","504BCCSSM",2007,153.109095431621,184.933617539102
"819","504BCCUF",2007,201.677896994942,263.035944814134
"820","518PS0093",2007,-35.9623147226599,34.956979650869
"821","518SCEBAM",2007,-61.113871356528,-33.2786839445108
"822","518HGY101",2007,-196.239810275092,-139.966915332335
"823","518FCA075",2007,18.3126973276934,46.040969841
"824","518RCC169",2007,58.7902428964201,13.1997961835951
"825","518RCC289",2007,-78.5455658602857,-66.2621504810172
"826","518SPC358",2007,65.592879867612,7.82218604270815
"827","533R5NPSC",2007,28.3810720479324,54.4735675017544
"828","532WER222",2007,426.425205630746,454.983858876803
"829","532TGRUPX",2007,155.463200390012,135.848428403557
"830","526CLC371",2007,128.743616206106,63.7187498150162
"831","SYRCL-VNM",2007,609.433874156609,628.075539992353
"832","517PSC038",2008,625.96453563827,655.012113895112
"833","517PLC130",2008,430.715174801715,448.022002714186
"834","517LCCAYB",2008,596.401757141709,553.200259646688
"835","517STC294",2008,548.334144576555,565.600135001602
"836","514SSC190",2008,396.690251576637,366.192813696783
"837","507RCABRS",2008,129.746187803258,127.298267236116
"838","507DCABSF",2008,26.0403795604535,143.587389226901
"839","507DCBLLB",2008,84.1143202538739,129.383199193716
"840","507RCBLPF",2008,159.877461922597,142.617283736331
"841","507SPISFD",2008,111.715848065929,175.36640824292
"842","507BTC269",2008,313.498101240416,291.354759571376
"843","507SPION1",2008,128.292401647181,141.527956734136
"844","507SHA003",2008,123.927257307933,154.000676610465
"845","507SHA007",2008,194.687919848716,173.778066730346
"846","507SHA010",2008,248.092637499334,264.206989124255
"847","507SHA011",2008,179.271501250963,172.455044788771
"848","507SHA034",2008,94.011327597592,180.65426579639
"849","507SHA037",2008,181.65060703485,184.551076450624
"850","507SHA053",2008,215.003289972383,211.399732097122
"851","507SHA201",2008,138.762508326508,133.487086357194
"852","534SED001",2008,390.992497726227,462.477080226728
"853","534ARC279",2008,412.635240308421,465.724200727009
"854","534SPC227",2008,217.373902870387,203.096548024385
"855","534STN075",2008,541.32311021652,571.397371201724
"856","520BCBHRB",2008,254.173918085537,250.712457918591
"857","521BTC303",2008,443.521598612098,479.11282853548
"858","521BTCLBC",2008,179.684086882999,175.884225059083
"859","521PS0161",2008,323.589838615855,366.019315016494
"860","532SPC282",2008,211.062627297109,183.570087196179
"861","532CRM206",2008,270.666940049089,295.019820955646
"862","532CPC238",2008,264.012559113083,267.487367300783
"863","514PCAPC2",2008,361.343533772354,333.490240629176
"864","518RCNAPC",2008,475.442427169063,491.686708872865
"865","518CPCRCR",2008,352.092700986418,376.844510607928
"866","518CCCACN",2008,430.601831566233,443.193061472186
"867","518FC1350",2008,61.8829289342082,115.289563264196
"868","518YLCAFR",2008,187.637356664374,268.35918371009
"869","518MCGRRx",2008,299.757476932976,318.018041448573
"870","518CMC383",2008,411.302995341778,443.073053636982
"871","518FALL01",2008,401.763546653727,498.270713986823
"872","518MLC181",2008,695.967509337892,748.440051563481
"873","518SED013",2008,151.644806136521,164.600735276689
"874","518GEC309",2008,80.2237117145017,138.449541282563
"875","518JSC273",2008,330.911148473007,298.501961302015
"876","518LCC105",2008,5.94877228543203,59.0174456468793
"877","518WS0103",2008,431.384020102777,482.632844008361
"878","518GEC297",2008,233.690375705749,247.203818117517
"879","518SPC134",2008,10.4960602771699,51.9074236199559
"880","509CTC033",2008,181.4687193951,251.607125752399
"881","504BCCFMR",2008,174.74994582888,205.8996007361
"882","504BCCSSM",2008,176.536459315097,194.817091615799
"883","504BCCUF",2008,230.657845074681,275.932904261298
"884","518PS0093",2008,24.5008433434982,99.4978393228549
"885","518SCEBAM",2008,52.6679110703841,82.1182374823751
"886","518HGY101",2008,-71.2415088338384,38.1108244801958
"887","518FCA075",2008,72.0608492771926,94.7912939478573
"888","518RCC169",2008,123.625432412519,71.1275243431786
"889","518RCC289",2008,-3.6072607666776,13.3970111004568
"890","518SPC358",2008,131.184218955985,80.5421639503094
"891","533R5NPSC",2008,93.1699645894136,122.40216671436
"892","532WER222",2008,529.660829861585,569.056954610709
"893","532TGRUPX",2008,259.298463003536,228.027541088349
"894","526CLC371",2008,193.053960146304,133.427386233631
"895","SYRCL-VNM",2008,726.573484420812,708.444644048212
"896","517PSC038",2009,945.488512674833,975.218570557872
"897","517PLC130",2009,672.558737580455,714.746105430214
"898","517LCCAYB",2009,951.995850470543,931.017589623214
"899","517STC294",2009,958.278298678925,983.597851696012
"900","514SSC190",2009,651.679092583678,625.633102098038
"901","507RCABRS",2009,287.241694401916,254.921755956578
"902","507DCABSF",2009,194.048950886461,282.723675496689
"903","507DCBLLB",2009,202.678681441272,238.535034437862
"904","507RCBLPF",2009,255.672554557855,219.305964071597
"905","507SPISFD",2009,303.533999985699,329.079254645964
"906","507BTC269",2009,649.611127483615,645.897881295748
"907","507SPION1",2009,288.71989893858,295.779189675716
"908","507SHA003",2009,225.833461808951,230.435939960688
"909","507SHA007",2009,282.013300812712,249.528557384127
"910","507SHA010",2009,543.944386184758,540.883892357056
"911","507SHA011",2009,256.982423923148,242.057079914237
"912","507SHA034",2009,176.938672389853,260.347020673619
"913","507SHA037",2009,362.43080515159,360.835569521689
"914","507SHA053",2009,305.736512607251,297.946178300732
"915","507SHA201",2009,230.140877927638,206.816679675765
"916","534SED001",2009,707.760589539034,793.724959571739
"917","534ARC279",2009,735.512292025403,793.158819183065
"918","534SPC227",2009,404.823176498903,420.608553068564
"919","534STN075",2009,858.036463002347,878.504005962733
"920","520BCBHRB",2009,417.174120370273,414.500149652877
"921","521BTC303",2009,807.385319549066,839.898547505524
"922","521BTCLBC",2009,401.622958154884,429.512186321929
"923","521PS0161",2009,707.19019081179,770.261780342617
"924","532SPC282",2009,528.396830913864,526.554997327408
"925","532CRM206",2009,509.439920982612,546.078060765404
"926","532CPC238",2009,671.490573474483,682.002620422363
"927","514PCAPC2",2009,639.484273207794,619.234201933959
"928","518RCNAPC",2009,900.234300437041,881.857029735788
"929","518CPCRCR",2009,644.641447098559,660.383693087596
"930","518CCCACN",2009,859.687889335435,893.381886935894
"931","518FC1350",2009,192.793325407877,250.107791991659
"932","518YLCAFR",2009,445.636376082184,517.864738688905
"933","518MCGRRx",2009,589.684684216639,603.647890602424
"934","518CMC383",2009,890.925502937904,900.870891615534
"935","518FALL01",2009,815.53065352482,1019.03886839172
"936","518MLC181",2009,1165.76884376404,1237.49912377415
"937","518SED013",2009,308.338444661459,317.609131925449
"938","518GEC309",2009,332.223610083341,409.319884079415
"939","518JSC273",2009,695.585902267913,684.616434143371
"940","518LCC105",2009,46.0229338316011,91.4660268425285
"941","518WS0103",2009,807.992533183759,893.959859171062
"942","518GEC297",2009,534.393041624752,554.3596796898
"943","518SPC134",2009,135.296926059624,197.948519696527
"944","509CTC033",2009,398.228541539009,485.847333857054
"945","504BCCFMR",2009,257.329875516082,294.210266237276
"946","504BCCSSM",2009,399.102763367933,416.839574851275
"947","504BCCUF",2009,476.778979525397,520.144217205059
"948","518PS0093",2009,220.652344254953,288.308954862715
"949","518SCEBAM",2009,198.059036653194,239.766024855737
"950","518HGY101",2009,24.2175435063625,102.415573423472
"951","518FCA075",2009,382.634147507403,413.599773953649
"952","518RCC169",2009,246.888148335524,197.412986793429
"953","518RCC289",2009,128.327470189941,155.517867610607
"954","518SPC358",2009,398.997262093583,358.626694201713
"955","533R5NPSC",2009,136.72015186803,158.51546334903
"956","532WER222",2009,841.843119951678,884.324659824371
"957","532TGRUPX",2009,410.691519333758,406.600175912137
"958","526CLC371",2009,267.030125092411,212.759137464195
"959","SYRCL-VNM",2009,1085.79328634515,1092.85375293974
"960","517PSC038",2010,1000.23519024472,1043.88318840945
"961","517PLC130",2010,788.746914045186,801.910734893393
"962","517LCCAYB",2010,933.205965673904,916.610828386866
"963","517STC294",2010,999.96102121721,1062.27072003471
"964","514SSC190",2010,643.173047705515,649.066890702912
"965","507RCABRS",2010,429.310666404836,399.474305580072
"966","507DCABSF",2010,335.620305315462,407.381006772424
"967","507DCBLLB",2010,362.192639350376,390.379345114813
"968","507RCBLPF",2010,422.937758052345,381.410420331874
"969","507SPISFD",2010,443.177372088223,453.21261017416
"970","507BTC269",2010,728.545248461626,728.612770419904
"971","507SPION1",2010,424.584577499302,432.328914038861
"972","507SHA003",2010,384.027465901425,387.392943021663
"973","507SHA007",2010,424.916666135553,409.17030276636
"974","507SHA010",2010,656.596563116385,620.587100682848
"975","507SHA011",2010,418.846808366007,410.974974462042
"976","507SHA034",2010,369.984681091305,434.296198076586
"977","507SHA037",2010,480.075145119726,480.391388487199
"978","507SHA053",2010,440.112118296742,435.638262712695
"979","507SHA201",2010,397.192837176095,367.110896193919
"980","534SED001",2010,690.029354774706,768.675216964932
"981","534ARC279",2010,709.743103620469,766.197757662605
"982","534SPC227",2010,482.974705026166,515.603877274498
"983","534STN075",2010,855.608072906274,886.849552059283
"984","520BCBHRB",2010,587.998819247796,573.729813755901
"985","521BTC303",2010,914.77829737574,917.232931308086
"986","521BTCLBC",2010,529.658203694192,535.802047707978
"987","521PS0161",2010,854.76401266032,875.322755536025
"988","532SPC282",2010,586.28079252906,578.370838274033
"989","532CRM206",2010,550.812751843724,575.042497735329
"990","532CPC238",2010,652.875376373766,659.620970951692
"991","514PCAPC2",2010,645.031674505154,640.413622594963
"992","518RCNAPC",2010,944.964826689754,947.721046176335
"993","518CPCRCR",2010,661.195428190463,693.469789520974
"994","518CCCACN",2010,908.260110002454,960.24799340527
"995","518FC1350",2010,188.285658855898,257.75660987671
"996","518YLCAFR",2010,464.612539576527,518.738916525363
"997","518MCGRRx",2010,743.198219275501,769.019652420042
"998","518CMC383",2010,983.045246894928,997.410183441074
"999","518FALL01",2010,954.001565997445,1159.54343907788
"1000","518MLC181",2010,1296.45151193813,1368.6685418356
"1001","518SED013",2010,314.700779098709,332.372484498576
"1002","518GEC309",2010,281.610258561657,342.217384923079
"1003","518JSC273",2010,601.187228102312,585.793726193193
"1004","518LCC105",2010,49.8462841628755,113.17644771018
"1005","518WS0103",2010,931.52041125486,1014.86072066424
"1006","518GEC297",2010,496.139524800089,515.248914841029
"1007","518SPC134",2010,176.687687728495,213.92478070817
"1008","509CTC033",2010,507.149065940651,566.500092456384
"1009","504BCCFMR",2010,415.893108466792,450.146254499295
"1010","504BCCSSM",2010,505.737987926115,529.72234159341
"1011","504BCCUF",2010,598.201238319295,640.950658995696
"1012","518PS0093",2010,184.960332455602,254.164605430498
"1013","518SCEBAM",2010,178.770395537903,233.56961720117
"1014","518HGY101",2010,15.9982266988583,100.678847302244
"1015","518FCA075",2010,255.052087525465,287.642492642536
"1016","518RCC169",2010,244.646009288373,204.398208762982
"1017","518RCC289",2010,151.548842831224,161.503088437194
"1018","518SPC358",2010,311.003054783588,267.424076846428
"1019","533R5NPSC",2010,236.603588111083,265.99734881421
"1020","532WER222",2010,784.898633116757,830.403013853238
"1021","532TGRUPX",2010,475.008851233749,480.392515946253
"1022","526CLC371",2010,412.701327161509,363.156791207821
"1023","SYRCL-VNM",2010,1141.92962357415,1145.193303289
"1024","517PSC038",2011,1799.99085426332,1811.39157719215
"1025","517PLC130",2011,1488.52524756029,1511.52839248941
"1026","517LCCAYB",2011,1757.64563278706,1713.61184398735
"1027","517STC294",2011,1884.21689431906,1903.49745070491
"1028","514SSC190",2011,1292.32897802588,1278.85835876444
"1029","507RCABRS",2011,657.505430231428,630.797539767957
"1030","507DCABSF",2011,583.271485062411,658.241227473688
"1031","507DCBLLB",2011,590.254655118028,612.05960895562
"1032","507RCBLPF",2011,617.878464913439,588.878910922455
"1033","507SPISFD",2011,691.44010902214,712.898307646383
"1034","507BTC269",2011,1075.27393586616,1088.10830750256
"1035","507SPION1",2011,660.967195935375,676.986945901527
"1036","507SHA003",2011,583.358232292083,595.953361440763
"1037","507SHA007",2011,612.399826208276,595.825628605072
"1038","507SHA010",2011,1019.85827189709,978.079899070196
"1039","507SHA011",2011,581.653639426868,580.891280040237
"1040","507SHA034",2011,575.678731204151,657.168495396017
"1041","507SHA037",2011,739.283009416533,742.904561655073
"1042","507SHA053",2011,642.241096997132,650.337564132784
"1043","507SHA201",2011,587.14471974919,568.533503576286
"1044","534SED001",2011,1370.60884153392,1434.09276411803
"1045","534ARC279",2011,1391.91459774322,1431.99951903832
"1046","534SPC227",2011,1079.06241483664,1126.92914848742
"1047","534STN075",2011,1519.61855196308,1535.13159732846
"1048","520BCBHRB",2011,673.710366834332,656.21397684305
"1049","521BTC303",2011,1454.96115036646,1459.51588983768
"1050","521BTCLBC",2011,689.503050448796,705.122655769754
"1051","521PS0161",2011,1300.20968920878,1336.69785271199
"1052","532SPC282",2011,1190.5288248119,1190.96965887146
"1053","532CRM206",2011,1211.68268717659,1245.82242698617
"1054","532CPC238",2011,1337.91664109423,1344.29053453086
"1055","514PCAPC2",2011,1334.71410207832,1305.37176960199
"1056","518RCNAPC",2011,1390.22821449193,1393.94037421603
"1057","518CPCRCR",2011,1051.49513030354,1094.716178146
"1058","518CCCACN",2011,1342.9736349459,1366.55810936659
"1059","518FC1350",2011,491.276045243719,589.762377018319
"1060","518YLCAFR",2011,811.453517272014,895.943937095951
"1061","518MCGRRx",2011,1306.14982487965,1321.75399175966
"1062","518CMC383",2011,1478.78685698971,1499.32101511413
"1063","518FALL01",2011,1471.22777091118,1663.54823740559
"1064","518MLC181",2011,2021.32090096037,2077.74258630237
"1065","518SED013",2011,613.606316337376,629.794090147218
"1066","518GEC309",2011,768.772917620403,820.881857923268
"1067","518JSC273",2011,1208.62940441867,1193.85224549525
"1068","518LCC105",2011,225.394788908462,281.765663185012
"1069","518WS0103",2011,1621.83649302617,1709.95787086307
"1070","518GEC297",2011,1137.12536044308,1140.56739090645
"1071","518SPC134",2011,557.79662786399,601.729513847803
"1072","509CTC033",2011,891.32996329557,945.853671733219
"1073","504BCCFMR",2011,471.727852973633,498.546299553119
