"","Site","WY","P_ET_1km","P_ET_5km"
"191","SIAR",2011,1111.6622111752,1134.438472167
"192","LYN",2011,1146.66548363105,1133.94280968542
"193","TRAV",2011,1104.2813399319,1013.64381660245
"194","BR55",2011,554.793295359638,542.737642254084
"195","DC116",2011,688.464304013176,743.460962750564
"196","DC110",2011,670.726103978696,724.862501459738
"197","EFAR",2011,1621.096603322,1703.46410007151
"198","MON",2011,1782.91590649265,1843.03051267783
"199","DC20",2011,1348.81973405976,1331.1259417225
"200","FUL",2011,1724.73680095205,1711.52019471581
"201","DC10",2011,1451.35385442735,1518.47401018504
"202","ROCK",2011,1384.23930126524,1459.9334289325
"203","BR10",2011,1785.13214587542,1785.6487788137
"204","SHADY",2011,837.821642656592,829.590765532655
"205","OC10",2011,1171.20032154146,1199.56326576647
"206","CORC",2011,1468.91561201664,1441.70223172943
"207","NFY",2011,1355.60803175529,1346.62325753325
"208","COLD",2011,715.29135569784,713.26456788662
"209","HAY",2011,1655.43463964054,1646.79709585281
"210","CSLA",2011,1957.13965377117,1929.10946666953
"211","CACR",2011,1821.47450152068,1874.14156043622
"212","BCC",2011,740.876203301508,776.188399953812
"213","MVC",2011,602.947288345795,541.613370005991
"214","BUT",2011,1319.11104428086,1318.04211556155
"215","WBUT",2011,1414.64990571849,1385.86774156726
"216","MAR",2011,1096.59035538719,1092.38132214293
"217","NFFR",2011,988.343500493471,967.359910151882
"218","WAR",2011,752.538847990635,759.957475899421
"219","GSW",2011,1575.57513989901,1634.3080229466
"220","TBCG",2011,424.916755701238,387.500223782866
"221","AMC",2011,1085.98324294083,1132.38202746077
"222","MCL",2011,882.930289924848,917.812830744335
"223","CCNB",2012,43.31849240136,68.2170663227082
"224","CFSR",2012,180.859520433042,212.575198167583
"225","ARN",2012,144.194932248356,206.606660726256
"226","CRP",2012,84.0148151780974,112.082810120543
"227","CAT",2012,148.201576566604,158.408812747188
"228","SIAR",2012,94.5513480725776,112.769115527931
"229","LYN",2012,219.106566717381,187.94903978962
"230","TRAV",2012,284.443770926898,189.328001953916
"231","BR55",2012,149.48248522414,143.749082324163
"232","DC116",2012,110.373814486283,186.595266620075
"233","DC110",2012,98.3980490983648,173.551731118596
"234","EFAR",2012,520.540708225946,597.161469495575
"235","MON",2012,613.110493817955,688.257230669179
"236","DC20",2012,521.495424680835,501.971431875225
"237","FUL",2012,639.885065590166,632.161468732493
"238","DC10",2012,455.021027063818,522.645285748025
"239","ROCK",2012,441.528236352516,507.294597058075
"240","BR10",2012,688.102826147194,687.460048121536
"241","SHADY",2012,211.704877508523,212.403196046612
"242","OC10",2012,312.894518105591,332.282229909989
"243","CORC",2012,444.415901979181,393.716600751277
"244","NFY",2012,340.259066671585,325.83890321865
"245","COLD",2012,46.6505957334724,19.7281722570375
"246","HAY",2012,514.479297589299,554.570982421259
"247","CSLA",2012,729.861649345747,699.336498077578
"248","CACR",2012,651.116884858587,691.012679154648
"249","BCC",2012,160.251157429899,185.79508100941
"250","MVC",2012,89.5413296791777,-6.07491214859385
"251","BUT",2012,375.422302849235,412.201931645406
"252","WBUT",2012,455.479240232875,426.112511008823
"253","MAR",2012,404.653081392577,368.208642594122
"254","NFFR",2012,361.809009877704,323.402651592105
"255","WAR",2012,216.853476505729,198.58360734715
"256","GSW",2012,608.531228221492,623.203791486799
"257","TBCG",2012,111.460885911515,81.7548721858267
"258","AMC",2012,353.084857466317,393.989549817239
"259","MCL",2012,301.944372940861,327.318274591545
"260","CCNB",2013,150.285852384079,185.368504745526
"261","CFSR",2013,488.08692796736,505.32913645625
"262","ARN",2013,468.835525919627,503.740501493484
"263","CRP",2013,302.18620508015,307.502144596493
"264","CAT",2013,373.925501114136,374.301302727413
"265","SIAR",2013,330.695970345716,357.430394193652
"266","LYN",2013,413.275599023523,391.506798310335
"267","TRAV",2013,402.255702231043,304.775321700884
"268","BR55",2013,247.544441313391,226.057408170079
"269","DC116",2013,292.08026525858,352.886696699695
"270","DC110",2013,288.386397853863,347.559163378694
"271","EFAR",2013,710.378459879782,763.930114809544
"272","MON",2013,802.854153335196,867.999522669711
"273","DC20",2013,535.06040143901,522.21808752818
"274","FUL",2013,827.142146497197,812.074500091002
"275","DC10",2013,572.218884771427,648.126535380984
"276","ROCK",2013,539.726207456041,612.94118939741
"277","BR10",2013,883.582578947959,873.101103558393
"278","SHADY",2013,321.291200353192,310.507532897687
"279","OC10",2013,450.757480869968,459.618273480098
"280","CORC",2013,614.712999016772,561.557661629213
"281","NFY",2013,510.919587277035,505.32926253291
"282","COLD",2013,138.1735074541,130.990169962134
"283","HAY",2013,698.967822533075,722.565221879007
"284","CSLA",2013,869.749608812027,822.953573815075
"285","CACR",2013,863.119834635627,905.137006884314
"286","BCC",2013,256.867919157997,280.221118664889
