"","Site","Year","DevOpenSpace.1km","DevLowIntensity.1km","DeciduousForest.1km","EvergreenForest.1km","MixedForest.1km","Scrub.1km","GrasslandHerb.1km","WoodyWetlands.1km","EmergHerbWetlands.1km","DevMedIntensity.1km","BarrenLand.1km","OpenWater.1km","CultivCrops.1km","DevHighIntensity.1km","PastureHay.1km","TotalPixels.1km","DevOpenSpace.1km.pct","DevLowIntensity.1km.pct","DeciduousForest.1km.pct","EvergreenForest.1km.pct","MixedForest.1km.pct","Scrub.1km.pct","GrasslandHerb.1km.pct","WoodyWetlands.1km.pct","EmergHerbWetlands.1km.pct","DevMedIntensity.1km.pct","BarrenLand.1km.pct","OpenWater.1km.pct","CultivCrops.1km.pct","DevHighIntensity.1km.pct","PastureHay.1km.pct","OpenWater.5km","DevOpenSpace.5km","DevLowIntensity.5km","DevMedIntensity.5km","DevHighIntensity.5km","BarrenLand.5km","DeciduousForest.5km","EvergreenForest.5km","MixedForest.5km","Scrub.5km","GrasslandHerb.5km","PastureHay.5km","WoodyWetlands.5km","EmergHerbWetlands.5km","CultivCrops.5km","PerennialIceSnow.5km","TotalPixels.5km","OpenWater.5km.pct","DevOpenSpace.5km.pct","DevLowIntensity.5km.pct","DevMedIntensity.5km.pct","DevHighIntensity.5km.pct","BarrenLand.5km.pct","DeciduousForest.5km.pct","EvergreenForest.5km.pct","MixedForest.5km.pct","Scrub.5km.pct","GrasslandHerb.5km.pct","PastureHay.5km.pct","WoodyWetlands.5km.pct","EmergHerbWetlands.5km.pct","CultivCrops.5km.pct","PerennialIceSnow.5km.pct"
"11","DC110",2004,97,9,202,1539,0,1328,309,0,0,0,0,0,0,0,0,3484,0.027841561423651,0.00258323765786452,0.0579793340987371,0.441733639494834,0,0.381171067738232,0.088691159586682,0,0,0,0,0,0,0,0,3296,7327,5450,252,11,74,9769,27350,2,23569,10015,123,21,0,0,0,87259,0.0377726079831307,0.0839684158654122,0.0624577407488053,0.00288795425113742,0.000126061495089332,0.000848050057873686,0.111954067775244,0.313434717335748,2.2920271834424e-05,0.270103943432769,0.114773261210878,0.00140959671781707,0.000240662854261452,0,0,0
"12","EFAR",2004,140,1,0,3123,0,224,2,0,0,0,0,0,0,0,0,3490,0.0401146131805158,0.000286532951289398,0,0.894842406876791,0,0.0641833810888252,0.000573065902578797,0,0,0,0,0,0,0,0,14,2552,236,10,0,0,649,75060,0,6623,2062,0,25,16,0,0,87247,0.000160463970107855,0.0292502894082318,0.00270496406753241,0.000114617121505611,0,0,0.00743865118571412,0.860316114021113,0,0.0759109195731658,0.0236340504544569,0,0.000286542803764026,0.000183387394408977,0,0
"13","MON",2004,355,19,0,2821,0,297,1,0,0,0,0,0,0,0,0,3493,0.101631835098769,0.00543945032922989,0,0.807615230460922,0,0.0850271972516461,0.000286286859433152,0,0,0,0,0,0,0,0,215,2233,113,2,0,4,9,69973,0,9321,5300,0,57,16,0,0,87243,0.00246438109647765,0.0255951766903935,0.00129523285535802,2.29244753160712e-05,0,4.58489506321424e-05,0.00010316013892232,0.802047155645725,0,0.10683951721055,0.0607498595875887,0,0.000653347546508029,0.00018339580252857,0,0
"14","DC20",2004,621,493,5,2140,0,186,24,5,0,17,0,0,0,0,0,3491,0.177885992552277,0.141220280721856,0.00143225436837582,0.613004869664852,0,0.0532798625035806,0.00687482096820395,0.00143225436837582,0,0.0048696648524778,0,0,0,0,0,166,9775,4621,1440,302,0,646,66837,0,3114,266,16,75,0,0,0,87258,0.00190240436406977,0.112024112402301,0.0529578949781109,0.0165027848449426,0.00346100071053657,0,0.0074033326457173,0.765969882417658,0,0.0356872722271883,0.003048431089413,0.000183364276054918,0.000859520044007426,0,0,0
"15","FUL",2004,49,161,6,2931,0,196,0,0,0,114,0,29,0,3,0,3489,0.0140441387216968,0.0461450272284322,0.00171969045571797,0.840068787618229,0,0.056176554886787,0,0,0,0.0326741186586414,0,0.00831183720263686,0,0.000859845227858985,0,138,2832,1924,774,13,3,1037,64363,0,9765,5453,2,416,509,0,0,87229,0.00158204266929576,0.0324662669525043,0.0220568847516308,0.00887319584083275,0.000149033005078586,3.43922319412122e-05,0.0118882481743457,0.73786240814408,0,0.111946714968646,0.0625136135918101,2.29281546274748e-05,0.00476905616251476,0.00583521535269234,0,0
"16","DC10",2004,86,27,0,3368,0,11,1,0,0,0,0,0,0,0,0,3493,0.0246206699112511,0.0077297452046951,0,0.964214142570856,0,0.00314915545376467,0.000286286859433152,0,0,0,0,0,0,0,0,2794,4068,811,22,0,161,210,74030,0,3729,1410,0,4,0,0,0,87239,0.0320269604190786,0.0466305207533328,0.00929630096631094,0.000252180790701406,0,0.00184550487740575,0.00240718027487706,0.848588360710233,0,0.0427446440238884,0.0161624961313174,0,4.58510528548012e-05,0,0,0
"17","ROCK",2004,135,24,4,3145,0,182,0,0,0,1,0,0,0,0,0,3491,0.0386708679461472,0.00687482096820395,0.00114580349470066,0.900887997708393,0,0.05213405900888,0,0,0,0.000286450873675165,0,0,0,0,0,2933,4917,734,19,0,161,323,74367,0,3155,599,0,46,0,0,0,87254,0.0336145047791505,0.0563527173539322,0.00841222178925895,0.000217755059939945,0,0.00184518761317533,0.00370183601897907,0.852304765397575,0,0.0361588007426594,0.00686501478442249,0,0.000527196460907236,0,0,0
"18","BR10",2004,58,221,0,2369,0,583,0,78,75,106,0,0,0,0,0,3490,0.0166189111747851,0.063323782234957,0,0.678796561604585,0,0.167048710601719,0,0.0223495702005731,0.0214899713467049,0.0303724928366762,0,0,0,0,0,2228,2094,1993,832,13,53,556,57262,0,13331,7913,2,461,504,0,0,87242,0.0255381582265423,0.0240022007748561,0.0228445015015703,0.00953669104330483,0.000149010797551638,0.000607505559248986,0.00637307718759313,0.656358176107838,0,0.152804841704684,0.0907017262327778,2.29247380848674e-05,0.00528415212856193,0.00577703399738658,0,0
"19","SHADY",2004,313,135,2,2745,0,275,5,2,0,2,0,0,0,0,8,3487,0.0897619730427301,0.0387152279896759,0.000573558933180384,0.787209635790077,0,0.0788643533123028,0.00143389733295096,0.000573558933180384,0,0.000573558933180384,0,0,0,0,0.00229423573272154,147,4925,1106,85,0,177,1395,62960,0,15418,978,30,28,0,0,0,87249,0.00168483306398927,0.0564476383683481,0.0126763630528717,0.000974223200265906,0,0.00202867654643606,0.0159887219337757,0.721612855161664,0,0.17671262707882,0.0112092975277654,0.00034384348244679,0.000320920583617004,0,0,0
"20","OC10",2004,144,88,144,2934,0,168,6,0,0,5,0,0,0,0,0,3489,0.0412725709372313,0.0252221266838636,0.0412725709372313,0.840928632846088,0,0.0481513327601032,0.00171969045571797,0,0,0.00143307537976498,0,0,0,0,0,1554,3253,517,62,13,629,608,72086,0,6199,2258,64,4,2,0,0,87249,0.0178110923907437,0.037284094946647,0.00592556934749968,0.000710609863723366,0.000148998842393609,0.0072092516819677,0.00696856124425495,0.826210042521977,0,0.0710495249229218,0.0258799527788284,0.000733532762553153,4.5845797659572e-05,2.2922898829786e-05,0,0
